day,GAIForecasted
2025-01-01,33.08470082709156
2025-01-02,34.71793988894305
2025-01-03,34.715196815019354
2025-01-04,29.474500638842585
2025-01-05,35.36335219239077
2025-01-06,25.466755470154848
2025-01-07,29.27100063443184
2025-01-08,30.062452953782127
2025-01-09,34.45996261846654
2025-01-10,27.518432259959127
2025-01-11,31.216769363880157
2025-01-12,31.0317452234048
2025-01-13,33.99990106692799
2025-01-14,25.501976388443325
2025-01-15,29.721758691426444
2025-01-16,28.58900072964989
2025-01-17,31.270280814658786
2025-01-18,28.60701528418064
2025-01-19,37.64750059598758
2025-01-20,40.35956440449872
2025-01-21,23.38670128905773
2025-01-22,30.72520044595077
2025-01-23,31.78464482545853
2025-01-24,27.484636867761612
2025-01-25,32.99120093506501
2025-01-26,29.15822081565857
2025-01-27,31.59129842054844
2025-01-28,29.474500638842585
2025-01-29,34.71793988894305
2025-01-30,27.328659862879586
